	HNSCC_GSE103322.pearson.p.value	HNSCC_GSE103322.pearson.cor	HNSCC_GSE103322.sp.p.value.x	HNSCC_GSE103322.sp.cor.x	SKCM_GSE72056.pearson.p.value	SKCM_GSE72056.pearson.cor	SKCM_GSE72056.sp.p.value	SKCM_GSE72056.sp.cor	NSCLC_EMTAB6149.pearson.p.value	NSCLC_EMTAB6149.pearson.cor	HNSCC_GSE103322.sp.p.value.y	HNSCC_GSE103322.sp.cor.y
CCL11	0.491202308	0.026042493	0.027283518	0.083377345	NA	NA	NA	NA	0.655518042	0.011700899	0.027283518	0.083377345
CCL13	0.465127818	-0.027631979	0.897576876	-0.004870462	NA	NA	NA	NA	0.180005395	0.035156227	0.897576876	-0.004870462
CCL14	0.600825289	-0.019794913	0.864531555	-0.00645525	0.00526905	-0.27300642	0.001495686	-0.308970959	NA	NA	0.864531555	-0.00645525
CCL16	0.522888315	-0.024170511	0.260116746	0.042589492	0.124123973	0.152486747	0.006819042	0.265035649	NA	NA	0.260116746	0.042589492
CCL17	0.483983223	-0.026477872	0.051886541	-0.073458531	NA	NA	NA	NA	0.326204722	0.025747663	0.051886541	-0.073458531
CCL18	0.42129227	-0.030420769	0.164013854	-0.052621198	0.789223477	-0.026660422	0.892997255	0.013417069	NA	NA	0.164013854	-0.052621198
CCL19	0.234814125	0.044929511	0.106017836	0.061100836	0.991426835	-0.001071824	0.193058189	0.129287871	0.926609925	-0.002416033	0.106017836	0.061100836
CCL2	0.384787753	-0.032875575	0.738726676	0.012619653	0.010526046	0.251065509	0.096991062	0.16441883	0.27227583	0.0287899	0.738726676	0.012619653
CCL20	0.899394452	0.004783567	0.402016959	0.031700366	0.219878909	-0.121921541	0.373636579	-0.088571481	0.823429242	0.005852743	0.402016959	0.031700366
CCL21	0.497883119	0.025642622	0.442495664	0.029052145	0.179398528	-0.13332692	0.312967847	-0.100394906	0.246850513	0.030367797	0.442495664	0.029052145
CCL22	0.600055238	-0.019836787	0.469439725	0.02736582	0.686885142	0.040191673	0.001301067	0.312687963	0.611919929	-0.013306624	0.469439725	0.02736582
CCL23	0.75681816	-0.011716272	0.689155084	0.015134008	NA	NA	NA	NA	NA	NA	0.689155084	0.015134008
CCL25	NA	NA	NA	NA	NA	NA	NA	NA	0.657944226	0.01161287	NA	NA
CCL26	0.981913257	0.000857777	0.149590803	0.054481804	NA	NA	NA	NA	0.43898948	0.020297054	0.149590803	0.054481804
CCL28	0.410060198	-0.031162088	0.222130931	0.046169858	0.369005777	-0.08942969	0.779562108	-0.027913645	0.7059815	0.009895116	0.222130931	0.046169858
CCL3	0.021930463	0.086543418	0.773109206	0.010908474	0.383229061	-0.086814114	0.34568458	-0.093855974	NA	NA	0.773109206	0.010908474
CCL3L1	0.563751411	-0.021839879	0.857527865	-0.006792495	NA	NA	NA	NA	NA	NA	0.857527865	-0.006792495
CCL3L3	0.497854503	-0.025644329	0.78584692	-0.010280327	0.632831692	0.047628151	0.933708505	0.008297077	NA	NA	0.78584692	-0.010280327
CCL4	0.356114483	0.034905126	0.21278655	0.04711644	0.848872308	0.01900645	0.24739708	0.114997412	NA	NA	0.21278655	0.04711644
CCL4L2	0.854859221	-0.006921138	0.962978459	-0.001756252	0.810017426	-0.02397688	0.407205039	0.082534083	NA	NA	0.962978459	-0.001756252
CCL5	0.098350719	0.062479764	0.798864753	0.009641273	0.251579436	0.113992629	0.002296298	0.29723064	NA	NA	0.798864753	0.009641273
CCL7	NA	NA	NA	NA	NA	NA	NA	NA	0.578688931	-0.014564572	NA	NA
CCL8	0.655247152	-0.016892438	0.501174898	-0.025446647	NA	NA	NA	NA	0.553480098	-0.015541528	0.501174898	-0.025446647
CCR1	0.60880915	-0.019362182	0.467651582	0.027476031	0.00659533	0.266079864	0.111741397	0.157650563	0.336919854	0.025183523	0.467651582	0.027476031
CCR10	0.070897703	0.068258908	0.821761006	-0.008523787	0.511532252	-0.065411275	0.718918634	-0.035889003	0.632593225	-0.012539379	0.821761006	-0.008523787
CCR2	NA	NA	NA	NA	0.68187961	-0.040870516	0.92459302	0.009441133	0.310278961	-0.026608856	NA	NA
CCR3	NA	NA	NA	NA	0.000202734	0.358250031	0.084038703	0.171067632	0.473210222	-0.01881196	NA	NA
CCR4	NA	NA	NA	NA	0.542642233	-0.060674218	0.632811551	0.047630969	0.611919929	-0.013306624	NA	NA
CCR5	NA	NA	NA	NA	NA	NA	NA	NA	0.340793915	-0.024982405	NA	NA
CCR6	0.880504214	0.005687993	0.846069453	0.007345423	0.415992977	0.081002715	0.00052358	0.335866066	0.366850263	-0.023666031	0.846069453	0.007345423
CCR7	0.235123659	-0.044899841	0.03400379	-0.080086581	0.995340334	-0.000582548	0.054034716	0.190412623	0.462550413	-0.01926792	0.03400379	-0.080086581
