"HNSCC_GSE103322.pearson.p.value"	"HNSCC_GSE103322.pearson.cor"
"CXCL13"	0.000125370594972556	0.144358479834995
"CCL19"	0.23481412465035	0.0449295108362572
"IL1R1"	0.0218781160981794	0.0865775515700606
"IL2RG"	0.490110042830584	-0.0261081444041608
"TNFSF15"	0.578667071650496	-0.0210098086406433
"CXCR2"	0.482435946701786	-0.0265716425512623
"IL17RB"	0.620396626686532	-0.0187385799644674
"TNFRSF12A"	7.59426526087727e-06	0.168162756408388
"TNFRSF1B"	0.585438893114259	-0.020636280281349
"CXCL1"	0.7953394407994	-0.0098140541368285
"IL33"	0.21108995828504	-0.0472914945736234
"TNFSF9"	0.82336763106759	-0.00844566278128997
"TNFAIP8L2"	0.443019583675199	-0.0290188107371825
"IL7"	0.429259004596327	-0.0299019609420306
"IL27RA"	0.996268275945917	-0.000176965162627079
"CCL26"	0.981913256860409	0.000857776547266652
"TNF"	0.4957241395111	-0.025771530264618
"IL21R"	0.0390166187622168	0.0779770743417764
"TNFRSF19"	0.052455278777167	0.0732815849288048
"TNFRSF8"	0.778739851572852	-0.0106304448140973
"CCR6"	0.880504214226945	0.0056879932276273
"IL1RN"	0.687656011939523	-0.0152110357630447
"TNFRSF13B"	0.0106589901128875	0.0963986444443257
"IL4R"	0.835365908766919	-0.00786333935453084
"ILF2"	2.79827138885456e-05	0.157519640572172
"TNFSF10"	0.521781192307518	0.0242349065651894
"IL31RA"	0.156323236627183	0.0535971526857429
"IL17RE"	0.461347430124834	-0.0278664566301531
"TNFSF4"	0.00587041383886607	0.10395586607467
"TNFSF13B"	0.511982600795371	-0.0248079372358009
"TNFAIP8"	0.000211017576921806	0.139516786304603
"CCL21"	0.497883119212522	0.0256426223128543
"ILKAP"	0.530405321726842	0.02373511540989
"CXCL6"	0.00195850535142655	0.116759571713475
"CCL3"	0.0219304633630861	0.086543418492466
"IL11RA"	0.0108813065915024	-0.0961282457024951
"TNFRSF9"	0.000139327104069006	0.143389308261831
"TNFAIP6"	0.0169028421148198	0.0902012665439228
"IL8"	0.0437693431243245	0.0761796012992721
"TNFRSF1A"	0.948654109133998	-0.00243658637554133
"IL18"	0.765073381490567	0.0113062908634249
"IL15RA"	0.0168956909694005	-0.0902071131956704
"IL10RB"	0.311034341427387	0.0383168533435594
"IL18RAP"	0.669240317323227	0.0161625664428878
"CCL18"	0.421292269939986	-0.0304207690076075
"CXCL2"	0.621929124426236	-0.0186564884950426
"CCL3L1"	0.563751410947253	-0.0218398792991396
"TNFRSF21"	0.349868065390581	-0.0353606802684901
"ILDR2"	0.680399021695055	-0.0155848224615065
"CCRL1"	0.943860241212525	-0.00266443581031695
"IFNAR2"	0.384713234817617	-0.0328807263110067
"CXCL14"	0.00274061743525691	-0.112974905863185
"IL34"	0.538596072890338	-0.0232642390794108
"IFNGR2"	0.513895965278528	-0.0246955987747396
"CXCR5"	0.553138357310084	-0.0224369379580212
"TNFAIP1"	0.564881351066846	0.0217766334388936
"IL12RB2"	0.504679211886833	-0.0252387649893497
"CXCL12"	0.000286817989769229	-0.136588269692053
"TNFRSF10B"	0.85740297315895	-0.00679851391861119
"TNFRSF11A"	0.542550945115467	-0.0230381641264129
"IL7R"	0.0487044525939817	0.0744795485782661
"TNFRSF10D"	0.28371607545752	0.0405449217381631
"IL13RA1"	0.732020959615381	0.0129563009583601
"TNFRSF25"	0.54373631346471	0.0229705641352593
"CCR7"	0.235123659185266	-0.0448998406645692
"CCR4"	NA	NA
"TNFSF11"	0.124214267427802	-0.0581185172720605
"IL1B"	0.469011910963138	-0.0273921671311263
"IL18R1"	0.492913446899013	-0.0259397995891294
"CCL4L2"	0.854859220561852	-0.00692113752475038
"CCL3L3"	0.497854502670968	-0.0256443289985634
"CXCL11"	0.798838902288322	-0.00964253886291066
"CCL20"	0.899394451982039	0.0047835665991193
"IL15"	0.96812269848487	-0.0015120758060692
"TNFAIP8L1"	0.0405902406661491	-0.0773623670023141
"CCL2"	0.384787753044836	-0.0328755747995155
"IL3RA"	0.340258955682957	-0.0360716558595367
"CXCL9"	0.661832280937421	0.0165481984441095
"CCR10"	0.0708977030232684	0.0682589082495956
"CXCL5"	0.0219975933804469	0.0864997496757876
"CSF2RB"	0.332827154410497	-0.036630381827813
"CXCR4"	0.265447308134212	-0.0421169003638082
"CXCL3"	0.867475810277288	-0.00631363096742076
"IL24"	0.649878414459399	0.0171741262532671
"IL18BP"	0.391950403751054	-0.0323832204580352
"CXCR7"	0.000284215893134523	0.136676068871279
"IL23A"	0.605803745425525	-0.0195247773125338
"IFNAR1"	0.30809844430531	0.0385499027357858
"CCL23"	0.756818160066564	-0.0117162723087768
"IL10"	0.642674709913788	-0.0175535931979855
"ILDR1"	0.00955949177872568	0.0978144280114247
"TNFRSF18"	0.851612964585753	-0.00707773146487633
"IL12RB1"	0.0155566432988851	0.091342132971308
"TNFRSF11B"	0.650055457289813	0.0171648220610506
"CCRN4L"	0.0462260360541465	0.0753142462460976
"CCL17"	0.483983223376782	-0.0264778717653713
"CCRL2"	0.326537668711078	-0.0371095394858683
"CCR8"	0.568396302764726	-0.0215802786000677
"CCR1"	0.608809149791518	-0.0193621816447126
"IL9R"	0.845088664618415	0.00739282185142463
"IFNG"	0.608378464522062	-0.0193854602218808
"CCL8"	0.655247152166002	-0.016892438418083
"CCL28"	0.410060198073799	-0.0311620882750428
"ILVBL"	0.56231477349769	0.0219203799430227
"IFNGR1"	0.0891000138209454	-0.0642626226149681
"TNFAIP2"	0.00648370663222608	-0.102729541881303
"IL20RB"	0.519140910742686	-0.0243887617857832
"CSF3R"	0.532308672222598	-0.0236253689916131
"IL17RC"	0.0924772869263521	-0.0635952624205535
"TNFRSF10A"	0.831024886508653	0.00807380444774394
"IL5RA"	0.504743358052927	0.0252349668241265
"TNFSF12"	0.227812847236477	-0.0456081352935486
