"HNSCC_GSE103322.pearson.p.value"	"HNSCC_GSE103322.pearson.cor"
"CXCL13"	0.000125370594972556	0.144358479834995
"NAT10"	0.708273332959644	-0.014156991567015
"CCL19"	0.23481412465035	0.0449295108362572
"EGFR"	0.0276112342411153	-0.0832015215657117
"IL1R1"	0.0218781160981794	0.0865775515700606
"IL2RG"	0.490110042830584	-0.0261081444041608
"AIFM1"	0.995571695099313	0.000209998609014223
"BMPR1A"	0.972893265788306	-0.00128569295385342
"TNFSF15"	0.578667071650496	-0.0210098086406433
"CXCR2"	0.482435946701786	-0.0265716425512623
"CD40"	0.0934322712378101	-0.0634101032456148
"IL17RB"	0.620396626686532	-0.0187385799644674
"ASRGL1"	0.463394473969053	-0.0277393570217244
"C7"	0.0576797491715379	-0.0717268022676594
"TNFRSF12A"	7.59426526087727e-06	0.168162756408388
"SCYL2"	0.0514366576915507	0.0735996484126882
"TNFRSF1B"	0.585438893114259	-0.020636280281349
"GCFC2"	0.400337757875675	-0.0318135525456949
"CXCL1"	0.7953394407994	-0.0098140541368285
"TGFBR2"	0.526241095458096	-0.0239759218035557
"IL33"	0.21108995828504	-0.0472914945736234
"KITLG"	0.107806371301792	-0.0607905972449597
"TNFSF9"	0.82336763106759	-0.00844566278128997
"DOCK3"	0.994402049062673	0.000265466253574194
"IL7"	0.429259004596327	-0.0299019609420306
"GHR"	0.307186474078064	-0.0386225923681143
"LIF"	0.0640809088819411	0.0699737297811282
"CNTFR"	0.0717536802130118	-0.0680532519409303
"IL27RA"	0.996268275945917	-0.000176965162627079
"ALPP"	0.659904801255301	0.0166488154262586
"CCL26"	0.981913256860409	0.000857776547266652
"TNF"	0.4957241395111	-0.025771530264618
"IL21R"	0.0390166187622168	0.0779770743417764
"EDA2R"	0.938500608754882	-0.00291929025708575
"TNFRSF19"	0.052455278777167	0.0732815849288048
"TNFRSF8"	0.778739851572852	-0.0106304448140973
"CCR6"	0.880504214226945	0.0056879932276273
"ACVR1"	0.925044898174885	-0.00355972783463423
"IL1RN"	0.687656011939523	-0.0152110357630447
"TNFRSF13B"	0.0106589901128875	0.0963986444443257
"IL4R"	0.835365908766919	-0.00786333935453084
"TNFSF10"	0.521781192307518	0.0242349065651894
"IL31RA"	0.156323236627183	0.0535971526857429
"IL17RE"	0.461347430124834	-0.0278664566301531
"CCL4L1"	0.854859220561852	-0.00692113752475038
"TNFSF4"	0.00587041383886607	0.10395586607467
"TNFSF13B"	0.511982600795371	-0.0248079372358009
"CCL21"	0.497883119212522	0.0256426223128543
"DTL"	0.609745363640696	-0.0193116044130228
"CXCL6"	0.00195850535142655	0.116759571713475
"LTA"	0.380258985947829	-0.0331897671243531
"CCL3"	0.0219304633630861	0.086543418492466
"IL11RA"	0.0108813065915024	-0.0961282457024951
"NCF4"	0.653308697576429	0.0169940370038947
"LEP"	0.371404024084231	0.0338108035606803
"TNFRSF9"	0.000139327104069006	0.143389308261831
"TNFRSF1A"	0.948654109133998	-0.00243658637554133
"OSM"	0.457784192159925	-0.0280884483746147
"IL18"	0.765073381490567	0.0113062908634249
"IL15RA"	0.0168956909694005	-0.0902071131956704
"IL10RB"	0.311034341427387	0.0383168533435594
"IL18RAP"	0.669240317323227	0.0161625664428878
"CCL18"	0.421292269939986	-0.0304207690076075
"CXCL2"	0.621929124426236	-0.0186564884950426
"CCL3L1"	0.563751410947253	-0.0218398792991396
"TNFRSF21"	0.349868065390581	-0.0353606802684901
"PDGFRA"	0.0203514530531619	-0.0876056431405738
"RNMT"	0.880912822353732	0.0056683973993296
"IFNAR2"	0.384713234817617	-0.0328807263110067
"PEBP1"	0.00121827520099577	-0.121929392245038
"CXCL14"	0.00274061743525691	-0.112974905863185
"CTNNBL1"	0.154605862168503	0.0538200284157665
"PKD1"	0.0764287821066637	-0.06696410925356
"SCYL1"	0.571960857092231	0.0213817435756572
"FAS"	0.789021653368076	0.0101242138874692
"VEGFC"	0.35223209354522	0.0351876713310822
"IL34"	0.538596072890338	-0.0232642390794108
"IFNGR2"	0.513895965278528	-0.0246955987747396
"CD9"	0.82952373761002	0.00814664212758434
"CXCR5"	0.553138357310084	-0.0224369379580212
"FASLG"	0.870222925742436	0.00618157392738561
"IL12RB2"	0.504679211886833	-0.0252387649893497
"TUBGCP2"	0.733023292965657	-0.012905916215253
"CXCL12"	0.000286817989769229	-0.136588269692053
"TNFRSF11A"	0.542550945115467	-0.0230381641264129
"IL7R"	0.0487044525939817	0.0744795485782661
"ACVR2B"	0.41864120466782	-0.0305946807903338
"CDKN2A"	0.313815609350527	-0.0380974103403291
"MPL"	0.613089660756727	0.0191312150462795
"FIGF"	0.000323282868934175	-0.135430432353559
"CNOT6"	0.953406356536224	0.00221080215143589
"EGF"	0.872497214876733	0.0060723030945938
"KIT"	0.572071287068008	0.0213756023596333
"IL13RA1"	0.732020959615381	0.0129563009583601
"TIMP1"	0.856342817855284	-0.00684961081010236
"TNFRSF25"	0.54373631346471	0.0229705641352593
"CCR7"	0.235123659185266	-0.0448998406645692
"CCR4"	NA	NA
"FLT1"	0.616988590257047	-0.0189214554199922
"TNFSF11"	0.124214267427802	-0.0581185172720605
"RBM39"	0.755978625234253	0.0117580425693598
"IL1B"	0.469011910963138	-0.0273921671311263
"IL18R1"	0.492913446899013	-0.0259397995891294
"FASN"	0.885126286808175	-0.00546641762280672
"CCL4L2"	0.854859220561852	-0.00692113752475038
"CCL3L3"	0.497854502670968	-0.0256443289985634
"CXCL11"	0.798838902288322	-0.00964253886291066
"CCL20"	0.899394451982039	0.0047835665991193
"IL15"	0.96812269848487	-0.0015120758060692
"CCL2"	0.384787753044836	-0.0328755747995155
"KDR"	0.27026020251154	-0.0416957753961103
"IL3RA"	0.340258955682957	-0.0360716558595367
"EDA"	0.0743713647277346	-0.0674365280195092
"CXCL9"	0.661832280937421	0.0165481984441095
"TPO"	0.58474847157874	-0.0206742710008662
"CCR10"	0.0708977030232684	0.0682589082495956
"CXCL5"	0.0219975933804469	0.0864997496757876
"CSF2RB"	0.332827154410497	-0.036630381827813
"CXCR4"	0.265447308134212	-0.0421169003638082
"CXCL3"	0.867475810277288	-0.00631363096742076
"SCYL3"	0.240895234259916	-0.0443515890166591
"IL24"	0.649878414459399	0.0171741262532671
"LTBR"	0.0774514977446168	-0.0667331174833336
"IL18BP"	0.391950403751054	-0.0323832204580352
"PDGFRB"	0.290063782440853	-0.0400148242926642
"IL23A"	0.605803745425525	-0.0195247773125338
"IFNAR1"	0.30809844430531	0.0385499027357858
"CCL23"	0.756818160066564	-0.0117162723087768
"IL10"	0.642674709913788	-0.0175535931979855
"TNFRSF18"	0.851612964585753	-0.00707773146487633
"IL10RA"	0.226884687814757	-0.0456992071530838
"SARNP"	0.0175176596743666	0.0897065201631525
"IL12RB1"	0.0155566432988851	0.091342132971308
"TNFRSF11B"	0.650055457289813	0.0171648220610506
"CCL17"	0.483983223376782	-0.0264778717653713
"MPI"	0.790315416114775	-0.0100606444462901
"CCRL2"	0.326537668711078	-0.0371095394858683
"CCR8"	0.568396302764726	-0.0215802786000677
"CCR1"	0.608809149791518	-0.0193621816447126
"TGFB3"	0.59415011309841	-0.0201587050240736
"IL9R"	0.845088664618415	0.00739282185142463
"IFNG"	0.608378464522062	-0.0193854602218808
"CCL8"	0.655247152166002	-0.016892438418083
"CCL28"	0.410060198073799	-0.0311620882750428
"ACVR1B"	0.517445511026123	-0.0244877691303235
"IFNGR1"	0.0891000138209454	-0.0642626226149681
"IL20RB"	0.519140910742686	-0.0243887617857832
"CLCF1"	0.980120298885959	0.000942825614696068
"IL17RC"	0.0924772869263521	-0.0635952624205535
"IL5RA"	0.504743358052927	0.0252349668241265
"ACVR2A"	0.972575761073218	-0.00130075833020178
"NGFR"	0.776656614583882	-0.0107332431194775
"CCL14"	0.600825289287106	-0.0197949131404173
"TNFSF13"	0.0468329664690167	-0.0751064300523087
"XCL1"	0.420009811021817	-0.0305048188565365
"IFNLR1"	0.97667510234468	0.00110626242931033
"CD70"	0.112135476684214	0.0600561545870478
"CCL5"	0.0983507194222973	0.0624797637190137
"IL32"	0.00531899916822885	0.105161155545999
"LAP3"	0.0323787770339252	0.0808274523285255
"CSF1"	0.952108789025531	0.00227244280185304
"DYM"	0.444182476163175	-0.0289449017609397
"CTF1"	0.439933809248445	-0.0292154691700971
"CSF3"	0.437981633997852	-0.0293402905389012
"SLPI"	0.0377995344479829	-0.0784670859976667
"IL1RAP"	0.404930483391894	0.0315046488243789
"ATF7IP"	0.173429011626545	-0.0514721571114887
"IL2RA"	0.582747508435929	-0.0207844926097685
"FLT3"	0.0811157618586032	0.0659253304160307
