"HNSCC_GSE103322.sp.p.value"	"HNSCC_GSE103322.sp.cor"
"CXCL13"	0.190591159878916	0.0494919421955692
"CCL19"	0.106017836357096	0.0611008362127292
"IL1R1"	0.000199335873727057	0.140053959316066
"IL2RG"	0.931855053040403	0.00323547621881481
"TNFSF15"	0.794766474372399	0.00984215540184002
"CXCR2"	0.421452506779561	-0.0304102779358105
"IL17RB"	0.226936207441069	0.0456941450590576
"TNFRSF12A"	1.81568101505162e-08	0.210580711603255
"TNFRSF1B"	0.0273501878702455	0.0833414294268221
"CXCL1"	0.195337835897362	-0.0489675932995291
"IL33"	0.215601376941576	-0.0468282099867543
"TNFSF9"	0.405934224325973	-0.0314374169550139
"TNFAIP8L2"	0.865242669091966	-0.00642103717074718
"IL7"	0.750681089944422	0.0120219488480742
"IL27RA"	0.392559929973746	0.0323415751139315
"CCL26"	0.149590803171031	0.0544818037512927
"TNF"	0.960865353733669	-0.0018565726940692
"IL21R"	0.0337689484220209	0.0801917547917109
"TNFRSF19"	9.58991441030962e-06	0.16630723641255
"TNFRSF8"	0.738122573584472	-0.0126499395694119
"CCR6"	0.846069452841727	0.00734542263484476
"IL1RN"	0.863788990545555	0.00649098167473079
"TNFRSF13B"	0.110392059447142	0.0603491939229951
"IL4R"	0.0797869645655737	0.0662147763613829
"ILF2"	9.79166223330638e-05	0.146604375809491
"TNFSF10"	0.467763636417988	0.0274691178594791
"IL31RA"	0.16927832621292	0.0519728074202509
"IL17RE"	0.347675591020183	-0.0355217970226408
"TNFSF4"	0.000221225971722237	0.139069710904477
"TNFSF13B"	0.801721458523161	0.00950140781134106
"TNFAIP8"	0.164333644026687	0.0525813696684044
"CCL21"	0.442495664245171	0.0290521451917534
"ILKAP"	0.264959901451608	0.042159839506769
"CXCL6"	0.0379999010965208	0.0783855043434228
"CCL3"	0.773109206127674	0.0109084742160408
"IL11RA"	0.0852794473337353	-0.06504255856584
"TNFRSF9"	0.310796007911367	0.0383357178860741
"TNFAIP6"	0.000217879843989461	0.139214085570612
"IL8"	0.0136981855186524	0.0930688101883753
"TNFRSF1A"	0.0979507625200748	0.0625540118590812
"IL18"	0.168808132185172	0.0520300983396991
"IL15RA"	0.22401727969695	-0.045982246269221
"IL10RB"	0.339189093699482	0.036151603067093
"IL18RAP"	0.768308418834308	-0.0111459915171922
"CCL18"	0.164013854042139	-0.052621198357441
"CXCL2"	0.0988998921984086	-0.0623782061128289
"CCL3L1"	0.857527865006486	-0.00679249525350564
"TNFRSF21"	0.426037850643518	-0.0301110471025815
"ILDR2"	0.467321805824367	-0.0274963819978529
"CCRL1"	0.359060950186788	0.0346919851533149
"IFNAR2"	0.0204120135881861	0.0875636023676517
"CXCL14"	0.000418891759168864	-0.13289217322657
"IL34"	0.771821809139426	0.0109721252697735
"IFNGR2"	0.697098569984116	0.0147268790600156
"CXCR5"	0.507499525294636	0.0250720099794954
"TNFAIP1"	0.246664894147708	0.0438126701608852
"IL12RB2"	0.901521604718612	-0.00468190296964124
"CXCL12"	0.000109909068499257	-0.145558554250369
"TNFRSF10B"	0.0117712529069341	0.0950926537991766
"TNFRSF11A"	0.384588286841121	-0.0328893654426474
"IL7R"	0.0108551860166713	0.0961597601721921
"TNFRSF10D"	0.653499793300906	0.0169840158409615
"IL13RA1"	0.0713527182815954	0.0681493354399539
"TNFRSF25"	0.0938188081280973	0.0633355893433945
"CCR7"	0.03400378997899	-0.0800865805625103
"CCR4"	NA	NA
"TNFSF11"	0.170070974876683	-0.0518764959433309
"IL1B"	0.831418274434708	0.00805472170573975
"IL18R1"	0.658995136750248	0.0166963419170391
"CCL4L2"	0.962978458609509	-0.00175625172087232
"CCL3L3"	0.785846919591019	-0.0102803267651243
"CXCL11"	0.616113171117551	0.0189685016073584
"CCL20"	0.402016958751211	0.0317003659002308
"IL15"	0.597796342008597	-0.0199597600361136
"TNFAIP8L1"	0.107283988017545	-0.0608807864292123
"CCL2"	0.738726676311619	0.0126196529433443
"IL3RA"	0.419507508335384	-0.0305377797866971
"CXCL9"	0.421376579913802	0.0304152487499655
"CCR10"	0.821761005712171	-0.00852378735271926
