HNSCC_GSE103322.sp.p.value	HNSCC_GSE103322.sp.cor	
ACVR1	0.20944347	0.047462353
ACVR1B	0.352193057	-0.035190522
ACVR2A	0.582255908	-0.020811599
ACVR2B	0.581630402	-0.020846104
AIFM1	0.303922621	0.038883917
ALPP	0.059248652	0.071282782
ASRGL1	0.72960383	0.013077898
ATF7IP	0.524570139	0.024072822
BMPR1A	0.161558135	0.052929013
BMPR1B	0.002745761	0.112953473
BMPR2	0.643936371	0.017487007
C7	0.09676544	-0.062775485
CCL11	0.027283518	0.083377345
CCL13	0.897576876	-0.004870462
CCL14	0.864531555	-0.00645525
CCL16	0.260116746	0.042589492
CCL17	0.051886541	-0.073458531
CCL18	0.164013854	-0.052621198
CCL19	0.106017836	0.061100836
CCL2	0.738726676	0.012619653
CCL20	0.402016959	0.031700366
CCL21	0.442495664	0.029052145
CCL22	0.469439725	0.02736582
CCL23	0.689155084	0.015134008
CCL26	0.149590803	0.054481804
CCL28	0.222130931	0.046169858
CCL3	0.773109206	0.010908474
CCL3L1	0.857527865	-0.006792495
CCL3L3	0.78584692	-0.010280327
CCL4	0.21278655	0.04711644
CCL4L1	0.962978459	-0.001756252
CCL4L2	0.962978459	-0.001756252
CCL5	0.798864753	0.009641273
CCL8	0.501174898	-0.025446647
CCM2	0.576251803	0.021143527
CCR1	0.467651582	0.027476031
CCR10	0.821761006	-0.008523787
CCR2	NA	NA
CCR4	NA	NA
CCR5	NA	NA
CCR6	0.846069453	0.007345423
CCR7	0.03400379	-0.080086581
CCR8	0.761852438	-0.011466093
CCRL2	0.954620765	0.002153117
CD27	0.953904936	0.002187119
CD40	0.261071864	-0.042504327
CD40LG	0.301061904	0.039114498
CD70	0.350648626	0.035303474
CD9	0.499772075	-0.02553008
CDKN2A	0.899295804	0.004788282
CLCF1	0.337358271	0.03628879
CNOT6	0.004715377	0.106617199
CNTFR	0.180664111	-0.050620414
CRLF2	0.113745675	-0.059788675
CSF1	0.007015313	0.10174811
CSF1R	0.262451585	0.042381679
CSF2RA	0.550363253	-0.022593975
CSF2RB	0.363243296	-0.034391318
CSF3	0.331675723	-0.036717662
CTF1	0.310439976	0.038363916
CTNNBL1	0.1237029	0.058197494
CUL9	0.077908333	-0.066630737
CX3CL1	0.026954511	0.0835557
CX3CR1	0.701334776	-0.014510457
CXCL1	0.195337836	-0.048967593
CXCL10	0.705695145	0.014288184
CXCL11	0.616113171	0.018968502
CXCL12	0.000109909	-0.145558554
CXCL13	0.19059116	0.049491942
CXCL14	0.000418892	-0.132892173
CXCL16	0.688350033	0.015175367
CXCL2	0.098899892	-0.062378206
CXCL3	0.172053326	-0.051637089
CXCL5	0.373987647	0.033628668
CXCL6	0.037999901	0.078385504
CXCL9	0.42137658	0.030415249
CXCR2	0.421452507	-0.030410278
