	NSCLC_EMTAB6149.p.value	NSCLC_EMTAB6149.cor	HNSCC_GSE103322.p.value	HNSCC_GSE103322.cor	SKCM_GSE72056.p.value	SKCM_GSE72056.cor
CCL11	0.655518042	0.011700899	0.491202308	0.026042493	NA	NA
CCL13	0.180005395	0.035156227	0.465127818	-0.027631979	NA	NA
CCL14	NA	NA	0.600825289	-0.019794913	0.00526905	-0.27300642
CCL16	NA	NA	0.522888315	-0.024170511	0.124123973	0.152486747
CCL17	0.326204722	0.025747663	0.483983223	-0.026477872	NA	NA
CCL18	NA	NA	0.42129227	-0.030420769	0.789223477	-0.026660422
CCL19	0.926609925	-0.002416033	0.234814125	0.044929511	0.991426835	-0.001071824
CCL2	0.27227583	0.0287899	0.384787753	-0.032875575	0.010526046	0.251065509
CCL20	0.823429242	0.005852743	0.899394452	0.004783567	0.219878909	-0.121921541
CCL21	0.246850513	0.030367797	0.497883119	0.025642622	0.179398528	-0.13332692
CCL22	0.611919929	-0.013306624	0.600055238	-0.019836787	0.686885142	0.040191673
CCL23	NA	NA	0.75681816	-0.011716272	NA	NA
CCL25	0.657944226	0.01161287	NA	NA	NA	NA
CCL26	0.43898948	0.020297054	0.981913257	0.000857777	NA	NA
CCL28	0.7059815	0.009895116	0.410060198	-0.031162088	0.369005777	-0.08942969
CCL3	NA	NA	0.021930463	0.086543418	0.383229061	-0.086814114
CCL3L1	NA	NA	0.563751411	-0.021839879	NA	NA
CCL3L3	NA	NA	0.497854503	-0.025644329	0.632831692	0.047628151
CCL4	NA	NA	0.356114483	0.034905126	0.848872308	0.01900645
CCL4L2	NA	NA	0.854859221	-0.006921138	0.810017426	-0.02397688
CCL5	NA	NA	0.098350719	0.062479764	0.251579436	0.113992629
CCL7	0.578688931	-0.014564572	NA	NA	NA	NA
CCL8	0.553480098	-0.015541528	0.655247152	-0.016892438	NA	NA
CCR1	0.336919854	0.025183523	0.60880915	-0.019362182	0.00659533	0.266079864
CCR10	0.632593225	-0.012539379	0.070897703	0.068258908	0.511532252	-0.065411275
CCR2	0.310278961	-0.026608856	NA	NA	0.68187961	-0.040870516
CCR3	0.473210222	-0.01881196	NA	NA	0.000202734	0.358250031
CCR4	0.611919929	-0.013306624	NA	NA	0.542642233	-0.060674218
CCR5	0.340793915	-0.024982405	NA	NA	NA	NA
CCR6	0.366850263	-0.023666031	0.880504214	0.005687993	0.415992977	0.081002715
CCR7	0.462550413	-0.01926792	0.235123659	-0.044899841	0.995340334	-0.000582548
CCR8	0.704391236	0.009951269	0.568396303	-0.021580279	0.757591956	0.030780088
CCR9	NA	NA	NA	NA	NA	NA
CCRL1	NA	NA	0.943860241	-0.002664436	0.503072343	0.066724634
CCRL2	0.71707063	0.009504796	0.326537669	-0.037109539	0.66470391	-0.043214361
CCRN4L	NA	NA	0.046226036	0.075314246	0.059901029	-0.186040322
CSF1	0.817122931	0.006065471	0.952108789	0.002272443	0.303538904	-0.102360621
CSF1R	0.317018987	0.026240934	0.941772657	-0.002763687	0.768963842	0.029293418
CSF2	0.393672248	-0.022370478	NA	NA	NA	NA
CSF2RA	0.85336114	0.004848039	0.82650756	-0.008293082	0.670268599	0.042452468
CSF2RB	0.543807688	-0.015922096	0.332827154	-0.036630382	0.0017364	-0.304938339
CSF3	0.975255372	0.000813585	0.437981634	-0.029340291	NA	NA
CSF3R	0.493398898	0.017963575	0.532308672	-0.023625369	NA	NA
CXCL1	0.228319894	-0.031590919	0.795339441	-0.009814054	0.209234016	-0.124763863
CXCL10	0.761344619	-0.007966225	0.560387661	-0.02202852	NA	NA
CXCL11	0.567964164	0.014977662	0.798838902	-0.009642539	0.245705435	-0.115407144
CXCL12	0.611432322	0.013324856	0.000286818	-0.13658827	0.014663217	0.23988391
CXCL13	0.536845647	-0.016198105	0.000125371	0.14435848	0.946728247	-0.006664835
CXCL14	0.561606736	-0.015224291	0.002740617	-0.112974906	0.181241163	0.132769263
CXCL16	0.468157818	0.019027354	0.118189062	-0.059065674	0.640659799	0.046535858
CXCL17	0.285386705	0.028015547	NA	NA	NA	NA
CXCL2	0.852502559	0.004876752	0.621929124	-0.018656488	0.047659491	-0.195631518
CXCL3	0.611156513	-0.013335172	0.86747581	-0.006313631	0.700145899	-0.038402012
CXCL5	0.460100126	-0.01937355	0.021997593	0.08649975	0.607784303	-0.051162175
CXCL6	0.611174729	-0.01333449	0.001958505	0.116759572	NA	NA
CXCL9	0.524931029	-0.016674676	0.661832281	0.016548198	0.52505329	-0.063335129
CXCR1	NA	NA	NA	NA	NA	NA
CXCR2	NA	NA	0.482435947	-0.026571643	0.959384268	0.005079879
CXCR2P1	NA	NA	NA	NA	0.814478526	-0.023403444
CXCR3	0.226679113	-0.031702564	NA	NA	0.405898955	-0.082763325
CXCR4	0.85087127	-0.004931324	0.265447308	-0.0421169	0.860376679	-0.017544199
CXCR5	NA	NA	0.553138357	-0.022436938	0.163448571	0.138339309
CXCR6	0.846332701	0.005083266	0.792996228	-0.009929012	NA	NA
CXCR7	NA	NA	0.000284216	0.136676069	0.754662383	-0.031164158
IFNAR1	0.627124171	0.012741284	0.308098444	0.038549903	0.483305088	-0.069839183
IFNAR2	0.715467845	0.00956108	0.384713235	-0.032880726	0.255050047	-0.113167518
IFNG	0.651297932	0.011854331	0.608378465	-0.01938546	NA	NA
IFNGR1	0.142140604	-0.038487346	0.089100014	-0.064262623	0.547818618	0.059899263
IFNGR2	0.465086374	0.019158924	0.513895965	-0.024695599	0.31462729	-0.100052951
IL10	0.315328055	-0.026332752	0.64267471	-0.017553593	0.009440686	0.254636007
IL10RB	0.500292208	0.01767819	0.311034341	0.038316853	0.963678551	0.004542398
IL11	0.91232808	-0.002887944	0.064868818	0.069768069	0.149682423	0.142966352
IL11RA	0.67263495	-0.01108259	0.010881307	-0.096128246	0.631898142	0.047758789
IL12A	0.915829266	0.002772175	NA	NA	NA	NA
IL12B	NA	NA	NA	NA	0.000216648	0.356736819
IL12RB1	0.689693741	-0.010472443	0.015556643	0.091342133	0.168959822	0.136568098
IL12RB2	0.611919929	-0.013306624	0.504679212	-0.025238765	0.093697619	0.166039425
IL13	0.110425131	0.041851655	NA	NA	NA	NA
IL13RA1	0.900391871	0.00328306	0.73202096	0.012956301	0.75633341	-0.030945029
IL13RA2	0.769780643	0.007676304	NA	NA	NA	NA
IL15	0.643841923	-0.012126409	0.968122698	-0.001512076	0.835471012	-0.02071492
IL15RA	0.02044028	0.060748528	0.016895691	-0.090207113	0.557088671	-0.058520285
IL16	0.066790527	0.048053293	0.001369769	-0.120671388	0.824419709	-0.022128298
IL17A	0.511895001	0.017202487	NA	NA	NA	NA
IL17B	0.122812782	0.040457722	0.967292599	0.001551473	NA	NA
IL17C	NA	NA	NA	NA	NA	NA
IL17D	0.79147892	-0.00693479	NA	NA	NA	NA
IL17RA	0.480480458	0.01850422	0.642156445	0.017580961	7.01E-05	0.381497745
IL17RB	0.297390518	0.027327387	0.620396627	-0.01873858	0.520541344	-0.064024879
IL17RC	0.465507807	0.019140843	0.092477287	-0.063595262	0.12752477	0.151138389
IL17RD	0.370846226	-0.023469401	0.831848733	-0.008033843	0.04608069	0.197012694
IL17RE	0.63934067	0.012291296	0.46134743	-0.027866457	NA	NA
IL18	0.23026728	-0.031459151	0.765073381	0.011306291	0.176954782	0.134073007
