"HNSCC_GSE103322.pearson.p.value"	"HNSCC_GSE103322.pearson.cor"	"HNSCC_GSE103322.sp.p.value.x"	"HNSCC_GSE103322.sp.cor.x"	"SKCM_GSE72056.pearson.p.value"	"SKCM_GSE72056.pearson.cor"	"SKCM_GSE72056.sp.p.value"	"SKCM_GSE72056.sp.cor"	"NSCLC_EMTAB6149.pearson.p.value"	"NSCLC_EMTAB6149.pearson.cor"	"HNSCC_GSE103322.sp.p.value.y"	"HNSCC_GSE103322.sp.cor.y"
"ACKR2"	NA	NA	NA	NA	NA	NA	NA	NA	0.523476990927456	0.0167332107031285	NA	NA
"ACKR3"	NA	NA	NA	NA	NA	NA	NA	NA	0.759331309477173	-0.00803555955068078	NA	NA
"ACKR4"	NA	NA	NA	NA	NA	NA	NA	NA	0.331735532544464	-0.0254550020564635	NA	NA
"ACVR1"	0.925044898174885	-0.00355972783463423	0.209443469961761	0.0474623531256041	NA	NA	NA	NA	0.0033623478463094	0.0768050510649041	0.209443469961761	0.0474623531256041
"ACVR1B"	0.517445511026123	-0.0244877691303235	0.352193057240327	-0.0351905221922751	NA	NA	NA	NA	0.622336526846204	-0.0129186536978788	0.352193057240327	-0.0351905221922751
"ACVR2A"	0.972575761073218	-0.00130075833020178	0.582255908121106	-0.0208115989861521	NA	NA	NA	NA	0.379005807641281	0.0230719267842558	0.582255908121106	-0.0208115989861521
"ACVR2B"	0.41864120466782	-0.0305946807903338	0.581630401815455	-0.0208461042361355	NA	NA	NA	NA	0.601026932021791	-0.0137154754669889	0.581630401815455	-0.0208461042361355
"AIFM1"	0.995571695099313	0.000209998609014223	0.303922621106827	0.0388839169017698	NA	NA	NA	NA	0.26121217694381	0.029463417157297	0.303922621106827	0.0388839169017698
"ALPP"	0.659904801255301	0.0166488154262586	0.0592486515352465	0.07128278246179	NA	NA	NA	NA	NA	NA	0.0592486515352465	0.07128278246179
"AMHR2"	NA	NA	NA	NA	NA	NA	NA	NA	0.611919929488193	-0.0133066241292743	NA	NA
"ASRGL1"	0.463394473969053	-0.0277393570217244	0.729603830344702	0.013077898459955	NA	NA	NA	NA	0.721967001738686	0.00933312331194503	0.729603830344702	0.013077898459955
"ATF7IP"	0.173429011626545	-0.0514721571114887	0.524570138949732	0.0240728215852196	NA	NA	NA	NA	0.425755643138917	0.0208889959578396	0.524570138949732	0.0240728215852196
"BMPR1A"	0.972893265788306	-0.00128569295385342	0.161558135343101	0.052929012548294	NA	NA	NA	NA	0.992206173629328	0.000256218234045666	0.161558135343101	0.052929012548294
"BMPR1B"	0.20811268260972	0.0476011615861779	0.00274576137813792	0.112953472717173	NA	NA	NA	NA	0.835297616301552	0.00545342022504641	0.00274576137813792	0.112953472717173
"BMPR2"	0.859142565380035	-0.00671469658530347	0.643936370842707	0.0174870067970956	NA	NA	NA	NA	0.0264570090982988	0.0581657614439067	0.643936370842707	0.0174870067970956
"C7"	0.0576797491715379	-0.0717268022676594	0.0967654400491026	-0.0627754846552311	NA	NA	NA	NA	0.115456992869527	0.0412713305996854	0.0967654400491026	-0.0627754846552311
"CALCA"	NA	NA	NA	NA	NA	NA	NA	NA	0.521509220464138	0.0168125598113239	NA	NA
"CCL11"	0.491202308248729	0.0260424925151479	0.0272835181270918	0.0833773453270257	NA	NA	NA	NA	0.655518041964594	0.0117008987395511	0.0272835181270918	0.0833773453270257
"CCL13"	0.465127818259614	-0.0276319787248923	0.897576876150325	-0.00487046181262044	NA	NA	NA	NA	0.180005395420319	0.0351562265668228	0.897576876150325	-0.00487046181262044
