"NSCLC_EMTAB6149.pearson.p.value"	"NSCLC_EMTAB6149.pearson.cor"
"TNFRSF18"	0.894006325455076	-0.00349473653781134
"TNFRSF4"	0.809663881125431	0.00631760140135966
"TNFRSF14"	0.98566309643611	-0.000471336551247926
"TNFRSF25"	0.305670497317338	0.026863463474169
"TNFRSF9"	0.622505146940634	-0.0129123967692877
"TNFRSF8"	0.556788793066085	-0.0154120955399901
"TNFRSF1B"	0.113860673509325	0.041453240574389
"CSF3R"	0.493398898105594	0.0179635745148916
"IL23R"	NA	NA
"IL12RB2"	0.611919929488193	-0.0133066241292743
"CSF1"	0.817122931273576	0.0060654712855771
"TNFAIP8L2"	0.264509267349627	0.0292606825395683
"ILF2"	0.85719771104306	0.00471980217089422
"IL6R"	0.730828754441785	-0.00902342682241756
"ILDR2"	0.90189366726657	0.00323330801454254
"TNFSF18"	0.774671958870534	0.00750863419003034
"TNFSF4"	0.199946215084699	0.0336091692788039
"IL10"	0.315328055230217	-0.0263327515610738
"IL19"	0.611919929488193	-0.0133066241292743
"IL24"	0.301651829704852	-0.0270875694103586
"IL1R2"	0.943622073481567	-0.00185491067750283
"IL1R1"	0.00877995672856026	0.0686538232805002
"IL1RL2"	0.00828529780869583	0.0691690093439842
"IL1RL1"	0.545621087569336	-0.0158504930366427
"IL18R1"	0.949238293049079	0.00166986595563231
"IL18RAP"	0.611919929488193	-0.0133066241292743
"IL1A"	0.465599916884045	0.0191368920776985
"IL1B"	0.758943304885176	-0.00804892805030968
"IL1RN"	0.88166686782657	0.00390443873761
"CXCR4"	0.850871270410473	-0.00493132395891592
"TNFAIP6"	0.524838178866517	0.0166784110972773
"CXCR2"	NA	NA
"CXCR1"	NA	NA
"CCL20"	0.823429241600137	0.00585274282431189
"ILKAP"	0.057182671870374	0.0498554573716331
"IL5RA"	0.480090460603143	-0.0185206632166342
"IL17RE"	0.639340670177712	0.0122912958758882
"IL17RC"	0.465507806517554	0.0191408427815329
"CCR4"	0.611919929488193	-0.0133066241292743
"CCR8"	0.704391235690354	0.00995126860811462
"CXCR6"	0.846332700528078	0.00508326586857225
"CCR3"	0.473210222329358	-0.0188119600198532
"CCR1"	0.336919853789492	0.0251835234168328
"CCR2"	0.310278961306125	-0.0266088560812469
"CCR5"	0.340793915439436	-0.0249824046177264
"CCRL2"	0.717070629575052	0.00950479590018793
"IL17RB"	0.297390518417443	0.0273273865318157
"IL17RD"	0.370846225561621	-0.0234694007770793
"ILDR1"	0.414294705748123	0.0214103612544734
"IL20RB"	0.962456125527778	-0.00123467225262169
"IL12A"	0.915829265685538	0.00277217477738052
"TNFSF10"	0.14957865647473	0.0377839862684748
"IL1RAP"	0.559982943949132	-0.0152874989523089
"CXCL6"	0.611174729395258	-0.0133344902079224
"CXCL1"	0.228319894333149	-0.0315909193863994
"CXCL5"	0.460100126421801	-0.0193735504298238
"CXCL3"	0.611156512932139	-0.0133351715841619
"CXCL2"	0.852502558668471	0.00487675243680113
"CXCL9"	0.524931029179993	-0.0166746757194836
"CXCL10"	0.761344618588161	-0.00796622540182564
"CXCL11"	0.567964164369222	0.0149776619505972
"CXCL13"	0.536845647179756	-0.0161981054740389
"IL2"	0.473914044648466	-0.0187820553838762
"IL21"	NA	NA
"IL15"	0.643841923138804	-0.0121264086763683
"IL7R"	0.254600763004542	-0.0298753397134473
"CCL28"	0.705981499771782	0.00989511592012543
"IL31RA"	0.611919929488193	-0.0133066241292743
"IL6ST"	0.0421936559657962	0.0532504762185712
"TNFAIP8"	0.155882942476445	0.0372084283929612
"CSF2"	0.393672247911825	-0.0223704781906312
"IL5"	NA	NA
"IL13"	0.11042513139422	0.0418516548288169
"IL4"	NA	NA
"CXCL14"	0.561606735665187	-0.0152242905982629
"IL17B"	0.122812781641755	0.0404577216544039
"CSF1R"	0.317018986975961	0.0262409343760032
"TNF"	0.141048918650736	-0.0385929363118141
"TNFRSF21"	0.351952706631353	-0.0244111378488037
"IL17A"	0.511895001423354	0.0172024871317527
"IL20RA"	0.0638583234607425	0.0485792382221183
"IL22RA2"	0.681584001122548	-0.0107617807283834
"IFNGR1"	0.14214060430913	-0.0384873462510411
"TNFAIP3"	0.211054135920251	0.0327958650808512
"CCR6"	0.366850263421847	-0.0236660312210098
"IL6"	0.554233712388591	-0.0155120140784212
"CCL26"	0.438989479548118	0.0202970538266398
"CSF2RA"	0.85336114028713	0.00484803877012937
"IL3RA"	0.725219965393389	0.00921929145099852
"IL1RAPL1"	0.611919929488193	-0.0133066241292743
"IL2RG"	0.685734148374644	0.0106135515423074
"CXCR3"	0.226679112703451	-0.0317025638374075
"IL13RA2"	0.769780642816322	0.00767630399558026
"IL13RA1"	0.900391870765006	0.00328306003294184
"IL9R"	NA	NA
"TNFRSF10B"	0.65203886391014	-0.0118273630516522
"TNFRSF10C"	0.142844151475341	0.0384196270056182
"TNFRSF10D"	0.535995796326088	-0.0162319202279788
"TNFRSF10A"	0.373843451186704	-0.0233227764736098
"IL7"	0.76728433351491	0.0077619956729624
"TNFRSF11B"	0.987399943221293	-0.000414231329941856
"IL33"	0.768540334321804	0.00771887020866006
"IL11RA"	0.672634950269386	-0.0110825900960411
"CCL19"	0.926609924766213	-0.00241603311257719
"CCL21"	0.246850513468784	0.0303677968282305
"TNFSF15"	0.680335780261922	-0.0108064299800929
"TNFSF8"	0.69911881451352	-0.0101377673993217
"ILK"	0.494108381071235	0.0179341040248586
"IL18BP"	0.988404009502067	0.000381219872825658
"IL18"	0.230267279952156	-0.0314591508562848
"CXCR5"	NA	NA
"IL15RA"	0.0204402796851005	0.0607485275706391
