"NSCLC_EMTAB6149.pearson.p.value"	"NSCLC_EMTAB6149.pearson.cor"
"TNFRSF18"	0.894006325455076	-0.00349473653781134
"TNFRSF4"	0.809663881125431	0.00631760140135966
"TNFRSF25"	0.305670497317338	0.026863463474169
"TNFRSF9"	0.622505146940634	-0.0129123967692877
"TNFRSF8"	0.556788793066085	-0.0154120955399901
"TNFRSF1B"	0.113860673509325	0.041453240574389
"IFNLR1"	NA	NA
"LEPROT"	0.101469295201294	0.0429383675452059
"LEPR"	0.236177434728936	-0.0310640239557872
"IL23R"	NA	NA
"IL12RB2"	0.611919929488193	-0.0133066241292743
"CSF1"	0.817122931273576	0.0060654712855771
"IL6R"	0.730828754441785	-0.00902342682241756
"XCL2"	0.548716716558938	-0.0157285329141468
"XCL1"	0.402615315731494	0.0219505093227812
"SCYL3"	0.0836937825653359	-0.0453446351420891
"FASLG"	0.753660294853269	-0.00823116106439586
"TNFSF18"	0.774671958870534	0.00750863419003034
"TNFSF4"	0.199946215084699	0.0336091692788039
"IL10"	0.315328055230217	-0.0263327515610738
"IL19"	0.611919929488193	-0.0133066241292743
"IL24"	0.301651829704852	-0.0270875694103586
"DTL"	0.763579011785176	-0.00788934260699105
"TGFB2"	0.796995713128444	0.00674716300016468
"SOS1"	0.0236429991371345	0.0593023437103435
"GCFC2"	0.179355450762234	0.0352087373263307
"IL1R2"	0.943622073481567	-0.00185491067750283
"IL1R1"	0.00877995672856026	0.0686538232805002
"IL1RL2"	0.00828529780869583	0.0691690093439842
"IL1RL1"	0.545621087569336	-0.0158504930366427
"IL18R1"	0.949238293049079	0.00166986595563231
"IL18RAP"	0.611919929488193	-0.0133066241292743
"IL1A"	0.465599916884045	0.0191368920776985
"IL1B"	0.758943304885176	-0.00804892805030968
"IL37"	0.842373346855872	-0.0052159559567436
"IL1RN"	0.88166686782657	0.00390443873761
"CXCR4"	0.850871270410473	-0.00493132395891592
"ACVR2A"	0.379005807641281	0.0230719267842558
"ACVR1"	0.0033623478463094	0.0768050510649041
"BMPR2"	0.0264570090982988	0.0581657614439067
"CXCR2"	NA	NA
"CXCR1"	NA	NA
"CCL20"	0.823429241600137	0.00585274282431189
"ALPP"	NA	NA
"ACKR3"	0.759331309477173	-0.00803555955068078
"IL5RA"	0.480090460603143	-0.0185206632166342
"IL17RE"	0.639340670177712	0.0122912958758882
"IL17RC"	0.465507806517554	0.0191408427815329
"TGFBR2"	0.100931896655113	0.0430059630852079
"CCR4"	0.611919929488193	-0.0133066241292743
"ACVR2B"	0.601026932021791	-0.0137154754669889
"CX3CR1"	0.993152487813344	0.000225107801862731
"CCR8"	0.704391235690354	0.00995126860811462
"ACKR2"	0.523476990927456	0.0167332107031285
"CXCR6"	0.846332700528078	0.00508326586857225
"XCR1"	NA	NA
"CCR3"	0.473210222329358	-0.0188119600198532
"CCR1"	0.336919853789492	0.0251835234168328
"CCR2"	0.310278961306125	-0.0266088560812469
"CCR5"	0.340793915439436	-0.0249824046177264
"CCRL2"	0.717070629575052	0.00950479590018793
"DOCK3"	NA	NA
"IL17RB"	0.297390518417443	0.0273273865318157
"IL17RD"	0.370846225561621	-0.0234694007770793
"ACKR4"	0.331735532544464	-0.0254550020564635
"IL20RB"	0.962456125527778	-0.00123467225262169
"IL12A"	0.915829265685538	0.00277217477738052
"TNFSF10"	0.14957865647473	0.0377839862684748
"IL1RAP"	0.559982943949132	-0.0152874989523089
"LAP3"	0.678649928145718	0.0108667831659967
"PDGFRA"	0.00484588311574775	0.0737908947124465
"KIT"	0.337825672704451	-0.0251363662508945
"KDR"	0.66908666497324	0.0112102478382873
"CXCL6"	0.611174729395258	-0.0133344902079224
"CXCL1"	0.228319894333149	-0.0315909193863994
"PF4"	0.00114782018706462	0.0851318610104151
"PPBP"	0.611919929488193	-0.0133066241292743
"CXCL5"	0.460100126421801	-0.0193735504298238
"CXCL3"	0.611156512932139	-0.0133351715841619
"CXCL2"	0.852502558668471	0.00487675243680113
"CXCL9"	0.524931029179993	-0.0166746757194836
"CXCL10"	0.761344618588161	-0.00796622540182564
"CXCL11"	0.567964164369222	0.0149776619505972
"CXCL13"	0.536845647179756	-0.0161981054740389
"BMPR1B"	0.835297616301552	0.00545342022504641
"EGF"	NA	NA
"IL2"	0.473914044648466	-0.0187820553838762
"IL21"	NA	NA
"IL15"	0.643841923138804	-0.0121264086763683
"VEGFC"	0.171659385272253	0.0358415583607183
"PDLIM3"	1.33094791016712e-06	0.126314068936469
"PRLR"	0.703355961013196	0.00998784894468419
"IL7R"	0.254600763004542	-0.0298753397134473
"LIFR"	0.150366316939204	0.0377110788021084
"C7"	0.115456992869527	0.0412713305996854
"GHR"	0.0330435692977031	0.0558662325604932
"CCL28"	0.705981499771782	0.00989511592012543
"IL31RA"	0.611919929488193	-0.0133066241292743
"IL6ST"	0.0421936559657962	0.0532504762185712
"ENC1"	0.0240155136149422	0.0591453678412188
"TSLP"	0.79301272235413	0.00688259014698565
"CSF2"	0.393672247911825	-0.0223704781906312
"IL5"	NA	NA
"IL13"	0.11042513139422	0.0418516548288169
"IL4"	NA	NA
"CXCL14"	0.561606735665187	-0.0152242905982629
"IL17B"	0.122812781641755	0.0404577216544039
"CSF1R"	0.317018986975961	0.0262409343760032
"PDGFRB"	0.547033787442215	-0.0157947938366836
"CNOT6"	0.90849263851635	0.00301483030141525
"FLT4"	0.836645445861854	-0.00540815269585294
"PRL"	0.589133697040133	0.0141657083319631
"LTA"	0.0273235473897218	0.0578368142834608
"TNF"	0.141048918650736	-0.0385929363118141
"LTB"	0.0660489514661294	-0.0481844839486427
