"NSCLC_EMTAB6149.sp.p.value"	"NSCLC_EMTAB6149.sp.cor"
"TNFRSF18"	0.115691673238056	0.0412447542956465
"TNFRSF4"	0.0754322254955654	0.0466064442025611
"TNFRSF14"	0.0628397699929612	0.0487665984251918
"TNFRSF25"	0.0990791553530936	0.043241225392791
"TNFRSF9"	0.208916658205518	0.0329499134615719
"TNFRSF8"	0.56977784470734	0.0149075452883409
"TNFRSF1B"	0.0111399551453732	0.0665044160287064
"CSF3R"	0.208744017191897	0.0329624054070863
"IL23R"	NA	NA
"IL12RB2"	0.575290376958574	-0.0146950804779298
"CSF1"	0.103164341344251	0.0427270084528512
"TNFAIP8L2"	0.0156390199686148	0.0633394913238491
"ILF2"	0.00543624117323578	0.0728210474370046
"IL6R"	0.123945818925222	0.0403358085468271
"ILDR2"	0.067522177099837	0.0479250278218042
"TNFSF18"	0.409340206059942	0.0216383762921222
"TNFSF4"	0.00192978033087029	0.081199389831267
"IL10"	0.598652001052816	-0.0138050550906101
"IL19"	0.575290376958574	-0.0146950804779298
"IL24"	0.209546575550944	-0.0329043972099324
"IL1R2"	0.364141661232528	0.0238000734641195
"IL1R1"	8.10821523015738e-08	0.140020566858775
"IL1RL2"	0.00217227374031411	0.0802800294663611
"IL1RL1"	0.299743460403482	0.0271946872069627
"IL18R1"	0.484483576946925	0.0183358559170799
"IL18RAP"	0.575290376958574	-0.0146950804779298
"IL1A"	0.170105347217595	0.0359719012262564
"IL1B"	0.457960046071105	-0.0194660655975045
"IL1RN"	0.106812284191613	0.0422813261096937
"CXCR4"	0.420972692201664	0.0211055616834952
"TNFAIP6"	0.00230701251035487	0.0798091059923476
"CXCR2"	NA	NA
"CXCR1"	NA	NA
"CCL20"	0.0290156395338588	0.0572195875321827
"ILKAP"	0.000343050171250866	0.093706299920144
"IL5RA"	0.427972025994698	-0.0207891224600083
"IL17RE"	0.122632111538062	0.0404772425164254
"IL17RC"	0.00234426472209757	0.0796833502245186
"CCR4"	0.575290376958574	-0.0146950804779298
"CCR8"	0.219992533566292	0.0321635986798633
"CXCR6"	0.096263869805929	0.0436055194935748
"CCR3"	0.427972025994698	-0.0207891224600083
"CCR1"	0.0652491220336359	0.0483273462522645
"CCR2"	0.261908213274428	-0.029420472235291
"CCR5"	0.633797676645366	-0.01249501322808
"CCRL2"	0.313358669997069	0.0264400969865754
"IL17RB"	0.179788636983319	0.0351737233895178
"IL17RD"	0.700493910036687	-0.0100890778166947
"ILDR1"	0.155823866820415	0.0372137390131237
"IL20RB"	0.401876574994113	0.0219849870174069
"IL12A"	0.45196711946951	0.0197264373605982
"TNFSF10"	0.000130651225829565	0.100082378169766
"IL1RAP"	0.423893548364472	0.020973139252373
"CXCL6"	0.940283510175934	-0.00196495369688102
"CXCL1"	0.926206389873193	-0.00242935556368407
"CXCL5"	0.813711858787443	-0.0061807011658674
"CXCL3"	0.422815716838805	0.0210219423883921
"CXCL2"	0.394233282904232	0.0223439637851783
"CXCL9"	0.28685880958212	0.0279301182676488
"CXCL10"	0.129010495170166	0.0398012353172271
"CXCL11"	0.0542096575371535	0.0504640298854965
"CXCL13"	0.582283297687146	0.0144269354315141
"IL2"	0.427972025994698	-0.0207891224600083
"IL21"	NA	NA
"IL15"	0.0865330126828613	0.0449342973828207
"IL7R"	0.266959225302073	0.0291111617073322
"CCL28"	0.366673918588382	0.0236747392918778
"IL31RA"	0.575290376958574	-0.0146950804779298
"IL6ST"	0.000279670761831011	0.0950877649889116
"TNFAIP8"	0.0326718766292861	0.0559850087873852
"CSF2"	0.331448329925821	-0.0254701212252657
"IL5"	NA	NA
"IL13"	0.00985595335327189	0.0676171075385029
"IL4"	NA	NA
"CXCL14"	0.171460558085829	0.0358581853537113
"IL17B"	0.0388348850420405	0.0541489163386272
"CSF1R"	0.000988752765726747	0.0862318321640047
"TNF"	0.188239215836613	-0.0345028491034657
