"NSCLC_EMTAB6149.sp.p.value"	"NSCLC_EMTAB6149.sp.cor"
"TNFRSF18"	0.115691673238056	0.0412447542956465
"TNFRSF4"	0.0754322254955654	0.0466064442025611
"TNFRSF25"	0.0990791553530936	0.043241225392791
"TNFRSF9"	0.208916658205518	0.0329499134615719
"TNFRSF8"	0.56977784470734	0.0149075452883409
"TNFRSF1B"	0.0111399551453732	0.0665044160287064
"IFNLR1"	NA	NA
"LEPROT"	0.000180248829440366	0.0979987916417438
"LEPR"	0.647008845089111	0.0120106865343902
"IL23R"	NA	NA
"IL12RB2"	0.575290376958574	-0.0146950804779298
"CSF1"	0.103164341344251	0.0427270084528512
"IL6R"	0.123945818925222	0.0403358085468271
"XCL2"	0.337952865828111	0.025129751045567
"XCL1"	0.595199286842047	0.0139355753618434
"SCYL3"	0.263208041511328	-0.0293404842299401
"FASLG"	0.640857201776609	0.0122356892989778
"TNFSF18"	0.409340206059942	0.0216383762921222
"TNFSF4"	0.00192978033087029	0.081199389831267
"IL10"	0.598652001052816	-0.0138050550906101
"IL19"	0.575290376958574	-0.0146950804779298
"IL24"	0.209546575550944	-0.0329043972099324
"DTL"	0.186323992279306	0.0346529130790357
"TGFB2"	0.0191172368460062	0.0614042788987178
"SOS1"	0.000278023761600829	0.0951274416516888
"GCFC2"	0.141288106691192	0.0385697480304667
"IL1R2"	0.364141661232528	0.0238000734641195
"IL1R1"	8.10821523015738e-08	0.140020566858775
"IL1RL2"	0.00217227374031411	0.0802800294663611
"IL1RL1"	0.299743460403482	0.0271946872069627
"IL18R1"	0.484483576946925	0.0183358559170799
"IL18RAP"	0.575290376958574	-0.0146950804779298
"IL1A"	0.170105347217595	0.0359719012262564
"IL1B"	0.457960046071105	-0.0194660655975045
"IL37"	0.505144353923158	0.017478558453762
"IL1RN"	0.106812284191613	0.0422813261096937
"CXCR4"	0.420972692201664	0.0211055616834952
"ACVR2A"	0.00833239862268105	0.0691187871369617
"ACVR1"	3.17960156655072e-08	0.144322527219371
"BMPR2"	3.9492488355738e-06	0.120582693987498
"CXCR2"	NA	NA
"CXCR1"	NA	NA
"CCL20"	0.0290156395338588	0.0572195875321827
"ALPP"	NA	NA
"ACKR3"	0.653091098129868	0.01178908664037
"IL5RA"	0.427972025994698	-0.0207891224600083
"IL17RE"	0.122632111538062	0.0404772425164254
"IL17RC"	0.00234426472209757	0.0796833502245186
"TGFBR2"	8.61838645642631e-05	0.102718704198314
"CCR4"	0.575290376958574	-0.0146950804779298
"ACVR2B"	0.71111030520445	0.00971432309110229
"CX3CR1"	0.325528447494017	0.0257836674585504
"CCR8"	0.219992533566292	0.0321635986798633
"ACKR2"	0.16808853296534	0.0361423950505373
"CXCR6"	0.096263869805929	0.0436055194935748
"XCR1"	NA	NA
"CCR3"	0.427972025994698	-0.0207891224600083
"CCR1"	0.0652491220336359	0.0483273462522645
"CCR2"	0.261908213274428	-0.029420472235291
"CCR5"	0.633797676645366	-0.01249501322808
"CCRL2"	0.313358669997069	0.0264400969865754
"DOCK3"	NA	NA
"IL17RB"	0.179788636983319	0.0351737233895178
"IL17RD"	0.700493910036687	-0.0100890778166947
"ACKR4"	0.455609065362917	-0.019567977723464
"IL20RB"	0.401876574994113	0.0219849870174069
"IL12A"	0.45196711946951	0.0197264373605982
"TNFSF10"	0.000130651225829565	0.100082378169766
"IL1RAP"	0.423893548364472	0.020973139252373
"LAP3"	0.00791793910861447	0.0695697162049712
"PDGFRA"	5.4294495333255e-05	0.105575444554708
"KIT"	0.893101557823529	-0.00352474705215473
"KDR"	0.253994444877319	0.029913486062454
"CXCL6"	0.940283510175934	-0.00196495369688102
"CXCL1"	0.926206389873193	-0.00242935556368407
"PF4"	0.00198859285727982	0.080967075194801
"PPBP"	0.575290376958574	-0.0146950804779298
"CXCL5"	0.813711858787443	-0.0061807011658674
"CXCL3"	0.422815716838805	0.0210219423883921
