"SKCM_GSE72056.pearson.p.value"	"SKCM_GSE72056.pearson.cor"
"CXCL13"	0.946728247365282	-0.00666483533955104
"CCL19"	0.991426835207124	-0.00107182436255138
"CXCR2P1"	0.814478525697574	-0.0234034441517731
"IL1R1"	0.551462721354316	-0.0593558434740068
"IL2RG"	0.189889737025179	-0.130205773050155
"TNFSF15"	0.9283678957121	0.00896722056362975
"CXCR2"	0.959384267550096	0.00507987933208984
"IL17RB"	0.520541343897533	-0.0640248786396474
"TNFRSF12A"	0.0337090977282941	0.209467305467285
"TNFRSF1B"	0.0483295400052602	-0.195056774517035
"CXCL1"	0.20923401555457	-0.124763862982667
"IL33"	0.0250754783914809	-0.220701274255648
"TNFSF9"	1.12577794760815e-05	0.417839177179745
"TNFAIP8L2"	0.911754458285077	0.0110545740629815
"IL7"	0.749705323186013	-0.0318150764135138
"IL27RA"	0.703463880897514	-0.0379561435521301
"TNF"	0.245592420912177	0.115434586166791
"IL1A"	NA	NA
"IL21R"	0.20680753011806	0.125426112727691
"TNFRSF19"	0.300207783797152	0.103064610558674
"TNFRSF8"	0.882018103186315	-0.0148032724301837
"CCR6"	0.415992977476927	0.0810027145764675
"IL1RN"	NA	NA
"TNFRSF13B"	0.3428339897244	0.0944096395456269
"IL4R"	0.907824862147388	0.0115489628718899
"ILF2"	0.495634734992749	-0.0678888094051079
"TNFSF10"	0.355856418398312	-0.0919032946454938
"IL31RA"	0.861876646239157	0.0173538276735379
"TNFSF4"	0.711086315549396	-0.0369346545457288
"TNFSF13B"	0.796595514098268	0.025706952942516
"TNFAIP8"	0.493740894732912	-0.0681867048869038
"CCL21"	0.179398527887388	-0.133326919992837
"ILKAP"	0.395879565945233	-0.0845365809471847
"CCL3"	0.383229061219775	-0.0868141136581381
"IL11RA"	0.631898141706929	0.0477587889417605
"TNFRSF9"	0.642797155961639	-0.0462385819963666
"CCR3"	0.000202733841333888	0.358250030719116
"TNFAIP6"	0.132236305710884	0.149315137644225
"IL8"	0.752836342333335	-0.0314037842920785
"TNFRSF1A"	0.753485044293086	0.0313186365253094
"IL18"	0.176954782114459	0.134073006921905
"IL15RA"	0.557088670785019	-0.0585202848782727
"IL10RB"	0.963678550998977	0.00454239840782988
"IL18RAP"	NA	NA
"CCL18"	0.789223476582997	-0.026660422342816
"CXCL2"	0.0476594910064016	-0.195631517780103
"CCL3L1"	NA	NA
"TNFRSF21"	0.602995691488929	-0.0518449617825867
"ILDR2"	0.01099202712965	0.249630883802336
"CCRL1"	0.503072342609414	0.0667246342713204
"IFNAR2"	0.255050046556195	-0.113167518113939
"IL26"	0.52541344276196	-0.0632802008305498
"CXCL14"	0.181241162518389	0.132769262976476
"IL34"	0.747694175671723	0.0320795428412344
"IFNGR2"	0.314627290181133	-0.100052951206526
"CXCR5"	0.163448571427654	0.138339308502533
"TNFAIP1"	0.462852711504754	-0.0731342918919787
"IL12RB2"	0.0936976190534254	0.166039425042206
"CXCL12"	0.014663216834216	0.239883910296642
"TNFRSF10B"	0.814989430163472	0.0233378207378654
"TNFRSF11A"	0.0863170728248262	-0.169841733934976
"IL7R"	0.925572472393353	-0.00931814939669379
"TNFRSF10D"	0.575470773585466	-0.0558178575882592
"IL13RA1"	0.756333409879969	-0.0309450290658746
"TNFRSF25"	0.942502025953851	-0.00719444915277946
"CCR7"	0.99534033442517	-0.000582547577522491
"CCR4"	0.542642232526228	-0.0606742178085254
"TNFSF11"	0.785446537789584	-0.0271498426667118
"IL1B"	0.985953322368039	0.00175618367744187
"IL18R1"	0.202004550351659	-0.12675354256806
"CCL4L2"	0.810017425744394	-0.0239768803045813
"CCL3L3"	0.632831692494887	0.0476281514826429
"CXCL11"	0.245705434577365	-0.115407143890039
"CCL20"	0.219878909364317	-0.121921541147788
