"SKCM_GSE72056.sp.p.value"	"SKCM_GSE72056.sp.cor"
"CXCL13"	0.283262966130221	0.106727827890209
"CCL19"	0.193058188515607	0.129287871022559
"CXCR2P1"	0.521273346110359	0.0639127709467287
"IL1R1"	0.395073520503567	-0.0846803878349807
"IL2RG"	0.473581139331823	-0.0713961981437801
"TNFSF15"	0.0993757171104217	0.163272278038567
"CXCR2"	0.564663614895906	0.0574016270465928
"IL17RB"	0.900674101127632	-0.0124493377151847
"TNFRSF12A"	0.195698099580762	0.128531378743205
"TNFRSF1B"	0.37174064957649	-0.0889220560393447
"CXCL1"	0.349034234254111	-0.0932090252303904
"IL33"	0.028281890158226	-0.21619333930448
"TNFSF9"	0.000114581142612198	0.370957631478423
"TNFAIP8L2"	0.244141508897783	0.115787678227728
"IL7"	0.602108817101902	-0.0519716800394662
"IL27RA"	0.708663441686329	0.0372589269001878
"TNF"	0.237160841970725	0.117507117538264
"IL1A"	NA	NA
"IL21R"	0.00320749533999599	0.287732531096682
"TNFRSF19"	0.483917435967092	0.0697416987669795
"TNFRSF8"	0.711368293107498	0.0368969403255492
"CCR6"	0.000523579962648869	0.335866065872325
"IL1RN"	NA	NA
"TNFRSF13B"	0.137593383437034	0.147301332323969
"IL4R"	0.360054474346707	0.0911075295736122
"ILF2"	0.455251684063022	-0.0743791362225389
"TNFSF10"	0.590254179997382	-0.0536735771489174
"IL31RA"	0.118037877413378	0.154972425054458
"TNFSF4"	0.893782099931354	0.0133180772226167
"TNFSF13B"	0.342928639804851	0.0943912094204737
"TNFAIP8"	0.496640330993702	0.0677308755049075
"CCL21"	0.31296784657439	-0.100394905616609
"ILKAP"	0.239662240307891	-0.116886997381571
"CCL3"	0.345684580393027	-0.0938559735553699
"IL11RA"	0.250825552170299	0.114172890502351
"TNFRSF9"	0.121804199565003	0.153422871655828
"CCR3"	0.0840387032129816	0.171067632418455
"TNFAIP6"	0.305804511813269	0.101884699586787
"IL8"	0.91023222720883	-0.0112460560029363
"TNFRSF1A"	0.590630636713558	-0.0536192962273727
"IL18"	0.00766063281839826	0.261360988859515
"IL15RA"	0.846282131124391	0.0193362168479203
"IL10RB"	0.791783835154624	0.0263290081165444
"IL18RAP"	NA	NA
"CCL18"	0.892997254717866	0.0134170692092906
"CXCL2"	0.00337246256306972	-0.286279250345892
"CCL3L1"	NA	NA
"TNFRSF21"	0.142208337790301	-0.145613722778232
"ILDR2"	0.0773095799136472	0.174850236978375
"CCRL1"	0.580773494704731	0.0550458335385561
"IFNAR2"	0.3808714433518	0.0872435417724573
"IL26"	0.567241585936256	-0.0570225441394852
"CXCL14"	0.0285564586240925	0.215827853845204
"IL34"	0.975123558042287	-0.00311051150349817
"IFNGR2"	0.274058403473634	-0.108779184382292
"CXCR5"	0.120411334828073	0.153991565022634
"TNFAIP1"	0.0661662248363322	-0.181741383258197
"IL12RB2"	0.0191965516159678	0.230431707447341
"CXCL12"	0.00554110028139807	0.271468348095538
"TNFRSF10B"	0.804756222738536	-0.0246541694937149
"TNFRSF11A"	0.0679517493315273	-0.18057700883757
"IL7R"	0.18032342031393	0.133046488277101
"TNFRSF10D"	0.333050246534313	0.0963323264255984
"IL13RA1"	0.997843534865939	0.000269598320307907
"TNFRSF25"	0.381790709798471	0.0870759115544655
"CCR7"	0.0540347160403749	0.190412623351025
"CCR4"	0.63281155128828	0.0476309691127053
"TNFSF11"	0.907371524778292	0.0116060157341145
"IL1B"	0.522460804671225	0.0637310787441305
"IL18R1"	0.354843571402616	-0.0920961567408478
"CCL4L2"	0.407205038687493	0.0825340830406903
"CCL3L3"	0.933708505122469	0.00829707713107469
"CXCL11"	0.43774634134784	-0.0772907899165944
"CCL20"	0.373636578687274	-0.0885714807307231
"IL15"	0.57994754248397	0.0551658688996481
"TNFAIP8L1"	0.178430945686695	0.133621431004538
"CCL2"	0.0969910623379953	0.164418830280131
"IL3RA"	0.137565341458698	-0.147311717142438
"IL2"	0.973174808553798	0.00335426730232266
"CXCL9"	0.933454442595355	-0.00832894848423076
"CCR10"	0.718918634196974	-0.035889002642014
"CXCL5"	0.954405293322757	-0.00570324045502925
"CSF2RB"	0.000394382410727332	-0.342727252474361
"CXCR4"	0.0913149075994518	0.167240163758697
"CXCL3"	0.657952009186794	0.0441421592421484
"IL24"	0.662933709240174	0.0434572494981165
"IL18BP"	0.706831760086455	-0.0375043332093132
"CXCR7"	0.195267024449545	-0.128654401633139
"IL23A"	0.367852279541821	-0.0896444875625007
"IFNAR1"	0.675833281349892	-0.0416930126322978
"IL10"	0.000448351636229613	0.339641236062704
"ILDR1"	0.713936289545366	0.0365537119066412
"TNFRSF18"	0.265663954701714	0.110690820976648
"IL12RB1"	0.000855180202357759	0.323599806168843
"TNFRSF11B"	0.0762418075698305	0.175474499768456
"CCRN4L"	0.229445498235214	-0.119449020262279
"CCRL2"	0.866469207853087	-0.0167713365116133
"CCR8"	0.767176243129221	0.0295266820159398
"CCR1"	0.111741397063803	0.157650563209165
"IL9R"	0.961515388588123	-0.00481312684899333
"IFNG"	NA	NA
"CCL8"	NA	NA
"CCL28"	0.779562108180362	-0.0279136447476653
"ILVBL"	0.792749788200747	-0.0262040492099953
"IFNGR1"	0.860196826047201	0.01756703002417
"TNFAIP2"	0.0100057793126379	0.252734563929092
"IL20RB"	0.959506357814606	-0.00506459634157546
"CSF3R"	NA	NA
"IL17RC"	0.780159958119966	0.0278359705751103
"TNFRSF10A"	0.334094231447594	0.0961254726518083
"IL5RA"	0.145673740344769	0.144373527712521
"TNFSF12"	0.197782846318403	0.127939165250523
"CCL14"	0.00149568561020296	-0.30897095888978
"IL4I1"	0.579205669535141	-0.0552737523720525
"TNFRSF10C"	0.245313282637745	-0.115502404666333
"TNFSF13"	0.527672154099213	-0.0629361495525689
"CXCR3"	0.594730540787379	-0.0530291451420861
"TNFRSF14"	0.281018360264268	-0.107223903080134
"CCL5"	0.00229629752844446	0.297230639852381
"IL32"	0.341690344686352	-0.0946325821762697
"IL21"	NA	NA
"CSF1"	0.906823339709596	-0.0116750102518313
"IL1RAP"	0.0219773346083694	0.22555100782625
"IL2RA"	0.0022780133607926	0.297454011851362
"IL16"	0.0960134068147106	0.164895313247171
"CCR5"	NA	NA
"CSF2RA"	0.00397570890586927	0.281457361091072
